filename,path,utt_num,who,role,postcodes,gems,utterance,startTime,endTime
16,class/Bradford/16,0,INV,Investigator,,,tell me everything you know about the Pilgrims.,20.028,26.782
16,class/Bradford/16,1,CHI,Child,,,I know that they first began at Plymouth_Rock,26.782,34.369
16,class/Bradford/16,2,CHI,Child,,,and they were sort_of enemies with the Indians,34.369,41.804
16,class/Bradford/16,3,CHI,Child,,,and they made Thanksgiving when they made friendship with the Indians,41.804,57.395
16,class/Bradford/16,4,CHI,Child,,,that's what I know.,57.395,61.447
16,class/Bradford/16,5,INV,Investigator,,,anything else.,61.447,62.213
16,class/Bradford/16,6,CHI,Child,,,yeah,62.213,66.681
16,class/Bradford/16,7,CHI,Child,,,many of them died because they starved,66.681,71.732
16,class/Bradford/16,8,CHI,Child,,,and when they got there they didn't have much supplies,71.732,75.3
16,class/Bradford/16,9,CHI,Child,,,so they had to start from scratch and everything.,75.3,80.534
16,class/Bradford/16,10,INV,Investigator,,,anything else.,80.534,82.884
16,class/Bradford/16,11,CHI,Child,,,they brought diseases to the Indians' homeland,82.884,100.343
16,class/Bradford/16,12,CHI,Child,,,and many of the Indians died too.,100.343,103.376
16,class/Bradford/16,13,INV,Investigator,,,okay,103.376,105.292
16,class/Bradford/16,14,INV,Investigator,,,okay tell me what you know about George_Washington.,105.292,108.844
16,class/Bradford/16,15,CHI,Child,,,he was the first president,108.844,115.094
16,class/Bradford/16,16,CHI,Child,,,and he used to be a general,115.094,121.432
16,class/Bradford/16,17,CHI,Child,,,and he was one of the delegates,121.432,124.85
16,class/Bradford/16,18,CHI,Child,,,and he was part of the thirteen colonies,124.85,133.266
16,class/Bradford/16,19,CHI,Child,,,and he was a plantation owner,133.266,140.5
16,class/Bradford/16,20,CHI,Child,,,and he was in the war of Delaware.,140.5,146.303
16,class/Bradford/16,21,INV,Investigator,,,anything else.,146.303,153.038
16,class/Bradford/16,22,CHI,Child,,,unhunh.,153.038,155.854
16,class/Bradford/16,23,INV,Investigator,,,okay,155.854,156.756
16,class/Bradford/16,24,INV,Investigator,,,tell me what you know about the Declaration_of_Independence.,156.756,159.874
16,class/Bradford/16,25,CHI,Child,,,James_Thomas wrote most of it,159.874,170.044
16,class/Bradford/16,26,CHI,Child,,,and it made the rights of all people.,170.044,182.332
16,class/Bradford/16,27,INV,Investigator,,,anything else.,186.217,186.733
16,class/Bradford/16,28,CHI,Child,,,unhunh.,186.733,190.224
16,class/Bradford/16,29,INV,Investigator,,,okay you can tell me even if you're not sure,190.224,192.441
16,class/Bradford/16,30,INV,Investigator,,,that's it.,192.441,193.441
16,class/Bradford/16,31,CHI,Child,,,mhm.,193.441,194.407
16,class/Bradford/16,32,INV,Investigator,,,okay tell me what you know about Benjamin_Franklin.,194.407,197.657
16,class/Bradford/16,33,CHI,Child,,,he was one of the first ones to sign the declaration,197.657,208.573
16,class/Bradford/16,34,CHI,Child,,,and he wasn't,208.573,215.697
16,class/Bradford/16,35,CHI,Child,,,at first he didn't get a chance to go to school,215.697,221.601
16,class/Bradford/16,36,CHI,Child,,,but then he just started reading books and that's how he really get smart,221.601,228.088
16,class/Bradford/16,37,CHI,Child,,,and he discovered electricity using a kite and a key.,228.088,236.172
16,class/Bradford/16,38,INV,Investigator,,,anything else.,236.172,241.506
16,class/Bradford/16,39,CHI,Child,,,unhunh.,241.506,243.706
16,class/Bradford/16,40,INV,Investigator,,,okay,243.706,244.472
16,class/Bradford/16,41,INV,Investigator,,,tell me what you know about Abraham_Lincoln.,244.472,247.324
16,class/Bradford/16,42,CHI,Child,,,he was one of the presidents to get assassinated,247.324,260.228
16,class/Bradford/16,43,CHI,Child,,,and he stopped,260.228,265.446
16,class/Bradford/16,44,CHI,Child,,,he was one of the causes of the civil right ending,265.446,271.498
16,class/Bradford/16,45,CHI,Child,,,and he is on the rocks those,271.498,288.757
16,class/Bradford/16,46,CHI,Child,,,he is one of the greatest presidents.,288.757,293.525
16,class/Bradford/16,47,INV,Investigator,,,anything else.,293.525,298.326
16,class/Bradford/16,48,CHI,Child,,,no.,298.326,303.996
16,class/Bradford/16,49,INV,Investigator,,,okay,303.996,304.562
16,class/Bradford/16,50,INV,Investigator,,,tell me what you know about the Civil_War.,304.562,307.096
16,class/Bradford/16,51,CHI,Child,,,it was fought for the rights of Blacks,307.096,317.279
16,class/Bradford/16,52,CHI,Child,,,and it was two different sides the Confederate and the,317.279,342.973
16,class/Bradford/16,53,CHI,Child,,,well I know one side was the Confederate.,342.973,346.323
16,class/Bradford/16,54,INV,Investigator,,,okay.,346.323,346.889
16,class/Bradford/16,55,CHI,Child,,,and it was said to be one of the most deadly wars that was ever done in North_America.,346.889,361.439
16,class/Bradford/16,56,INV,Investigator,,,mhm.,361.439,362.156
16,class/Bradford/16,57,CHI,Child,,,that's it.,362.156,373.639
16,class/Bradford/16,58,INV,Investigator,,,nothing else about the Civil_War.,373.639,376.105
16,class/Bradford/16,59,CHI,Child,,,many people became rebels and were run out either side.,376.105,396.921
16,class/Bradford/16,60,INV,Investigator,,,mhm.,396.721,397.837
16,class/Bradford/16,61,CHI,Child,,,and so if anybody had to send spies they had to be careful.,397.837,408.906
16,class/Bradford/16,62,INV,Investigator,,,mhm,408.906,410.322
16,class/Bradford/16,63,INV,Investigator,,,anything else.,410.322,412.955
16,class/Bradford/16,64,CHI,Child,,,unhunh.,412.955,414.0
16,class/Bradford/16,65,INV,Investigator,,,okay,414.0,414.5
16,class/Bradford/16,66,INV,Investigator,,,tell me what you know about the Constitution of the United_States,414.5,419.376
16,class/Bradford/16,68,INV,Investigator,,,tell me what you know about the Constitution of the United_States.,445.957,450.092
16,class/Bradford/16,69,CHI,Child,,,I know that it was made around seventeen seventy six,450.092,468.166
16,class/Bradford/16,70,CHI,Child,,,and it was something that the delegates had to argue over and make sure they was arguing over whether it should be one government or separated powers,468.166,498.446
16,class/Bradford/16,71,CHI,Child,,,and they came to a choice of separated powers.,498.446,505.016
16,class/Bradford/16,72,INV,Investigator,,,anything else.,505.016,509.968
16,class/Bradford/16,73,CHI,Child,,,unhunh.,509.968,511.868
16,class/Bradford/16,74,INV,Investigator,,,that's it.,511.868,512.718
16,class/Bradford/16,75,CHI,Child,,,mhm.,512.718,513.884
16,class/Bradford/16,76,INV,Investigator,,,okay tell me what you know about John_F_Kennedy.,513.386,516.836
16,class/Bradford/16,77,CHI,Child,,,he was a assassinated president that was involved in the Civil_Rights_Act with Martin_Luther_King,516.836,533.226
16,class/Bradford/16,78,CHI,Child,,,he was very important because he was the president and he had all the power over whether or not there should be segregated schools and all of that.,533.226,560.835
16,class/Bradford/16,80,INV,Investigator,,,anything else.,563.018,565.401
16,class/Bradford/16,81,CHI,Child,,,unhunh.,565.401,579.358
16,class/Bradford/16,82,INV,Investigator,,,that's it about John_F_Kennedy.,578.358,580.024
16,class/Bradford/16,83,CHI,Child,,,mhm.,580.024,580.791
16,class/Bradford/16,84,INV,Investigator,,,okay,580.791,581.508
16,class/Bradford/16,85,INV,Investigator,,,tell me what you know about the atomic bomb.,581.508,585.158
16,class/Bradford/16,86,CHI,Child,,,Albert_Einstein made it to end the World_War,585.158,592.691
16,class/Bradford/16,87,CHI,Child,,,to destroy the Chinese,592.691,595.591
16,class/Bradford/16,88,CHI,Child,,,and then there was a disease caused by that bomb called leukemia,595.591,606.108
16,class/Bradford/16,89,CHI,Child,,,and that's it.,606.108,632.324
16,class/Bradford/16,90,INV,Investigator,,,that's all,632.324,632.958
16,class/Bradford/16,91,INV,Investigator,,,okay,632.958,633.674
16,class/Bradford/16,92,INV,Investigator,,,tell me what you know about the Industrial_Revolution,633.674,638.0
16,class/Bradford/16,93,INV,Investigator,,,the Industrial_Revolution.,638.0,640.861
16,class/Bradford/16,94,CHI,Child,,,I know that it was fought between the British and the colonies,640.861,650.799
16,class/Bradford/16,95,CHI,Child,,,and they were fighting because they wanted their rights and they didn't want to go back not to England.,650.799,668.59
16,class/Bradford/16,96,INV,Investigator,,,anything else.,668.59,671.44
16,class/Bradford/16,97,CHI,Child,,,that's it.,671.44,686.049
16,class/Bradford/16,98,INV,Investigator,,,okay,686.049,687.699
16,class/Bradford/16,99,INV,Investigator,,,now tell me what you know about Martin_Luther_King_Junior.,687.699,692.534
16,class/Bradford/16,100,CHI,Child,,,I know that he died for the rights of the Blacks and was known for his speeches.,692.534,711.973
16,class/Bradford/16,101,INV,Investigator,,,mhm,711.973,713.039
16,class/Bradford/16,102,INV,Investigator,,,anything else.,713.039,714.189
16,class/Bradford/16,103,CHI,Child,,,he was very very intelligent and had to show his courage because there was many people out there to kill him,714.189,737.049
16,class/Bradford/16,104,CHI,Child,,,and had to prove that violence wasn't the answer.,737.049,747.368
16,class/Bradford/16,105,INV,Investigator,,,anything else.,747.368,751.086
16,class/Bradford/16,106,CHI,Child,,,unhunh.,751.086,756.452
16,class/Bradford/16,107,INV,Investigator,,,okay,756.452,757.352
16,class/Bradford/16,108,INV,Investigator,,,tell me what you know about the slave trade.,757.352,761.022
16,class/Bradford/16,109,CHI,Child,,,it was set up in a triangle,761.022,763.372
16,class/Bradford/16,110,CHI,Child,,,and they rubbed like grease all over them to make them shiny to make them look good so they could sell,763.372,778.038
16,class/Bradford/16,111,CHI,Child,,,and it was,778.038,783.547
16,class/Bradford/16,112,CHI,Child,,,at first they had the Chinese working,783.547,791.663
16,class/Bradford/16,113,CHI,Child,,,but they saw that they died quickly,791.663,794.647
16,class/Bradford/16,114,CHI,Child,,,so they had to get people that was able to work in the sun.,794.647,800.78
16,class/Bradford/16,115,INV,Investigator,,,mhm.,800.78,802.863
16,class/Bradford/16,116,CHI,Child,,,and they traded the slaves for things like grains and silk stuff like that,802.863,817.23
16,class/Bradford/16,117,CHI,Child,,,and that's it.,817.23,823.8
16,class/Bradford/16,118,INV,Investigator,,,nothing else about the slave trade,823.8,825.45
16,class/Bradford/16,119,INV,Investigator,,,okay,825.45,826.716
16,class/Bradford/16,120,INV,Investigator,,,what do you know about the civil rights movement.,826.716,830.871
16,class/Bradford/16,121,CHI,Child,,,I know that Malcolm_X and Martin_Luther_King were joined in it.,830.871,842.843
16,class/Bradford/16,122,INV,Investigator,,,mhm.,842.843,843.526
16,class/Bradford/16,123,CHI,Child,,,it was fought for the rights of the Blacks,843.526,851.459
16,class/Bradford/16,124,CHI,Child,,,they wanted the same rights as the Whites.,851.459,854.876
16,class/Bradford/16,125,INV,Investigator,,,mhm.,854.876,855.442
16,class/Bradford/16,126,CHI,Child,,,they thought that it was unfair.,855.442,862.559
16,class/Bradford/16,127,INV,Investigator,,,mhm.,862.559,863.292
16,class/Bradford/16,128,CHI,Child,,,for them to have all the special treatment instead of what they deserved.,863.292,876.558
16,class/Bradford/16,129,INV,Investigator,,,mhm,871.4,871.95
16,class/Bradford/16,130,INV,Investigator,,,mhm.,876.558,877.308
16,class/Bradford/16,131,CHI,Child,,,so they boycotted the buses in Montgomery,877.308,889.274
16,class/Bradford/16,132,CHI,Child,,,and they marched and fasted.,889.274,893.491
16,class/Bradford/16,133,INV,Investigator,,,mhm.,893.491,896.208
16,class/Bradford/16,134,CHI,Child,,,they they made speeches of encouragement to keep going for their rights.,896.208,931.191
16,class/Bradford/16,135,INV,Investigator,,,anything else.,931.191,932.291
16,class/Bradford/16,136,CHI,Child,,,unhunh.,932.291,934.041
16,class/Bradford/16,137,INV,Investigator,,,okay,934.041,934.541
16,class/Bradford/16,138,INV,Investigator,,,tell me what you know about Harriet_Tubman.,934.541,937.607
16,class/Bradford/16,139,CHI,Child,,,I know that she was a abolitionist that brought slaves the north where they could be free.,937.607,955.173
16,class/Bradford/16,140,INV,Investigator,,,mhm.,955.173,957.24
16,class/Bradford/16,141,CHI,Child,,,and was one of the first people to use the Underground_Railroad.,957.24,964.14
16,class/Bradford/16,142,INV,Investigator,,,okay.,964.14,967.473
16,class/Bradford/16,143,CHI,Child,,,she was more fearless than some people were,967.473,982.306
16,class/Bradford/16,144,CHI,Child,,,so she wasn't very afraid to keep coming from the north.,982.306,997.489
16,class/Bradford/16,145,INV,Investigator,,,mhm.,997.489,998.373
16,class/Bradford/16,146,CHI,Child,,,and that's it.,998.373,1001.973
16,class/Bradford/16,147,INV,Investigator,,,nothing else,1001.973,1003.006
16,class/Bradford/16,148,INV,Investigator,,,okay,1003.006,1004.622
16,class/Bradford/16,149,INV,Investigator,,,tell me what you know about Frederick_Douglass.,1004.622,1007.022
16,class/Bradford/16,150,CHI,Child,,,he was one of the first Black men to be known to read and be able to be considered known like a lawman.,1007.022,1058.722
16,class/Bradford/16,151,INV,Investigator,,,mhm.,1058.722,1059.272
16,class/Bradford/16,152,CHI,Child,,,to the Whites to fight for the Blacks for Black people's rights.,1059.272,1066.855
16,class/Bradford/16,153,INV,Investigator,,,anything else.,1066.855,1070.122
16,class/Bradford/16,154,CHI,Child,,,unhunh.,1070.122,1073.305
16,class/Bradford/16,155,INV,Investigator,,,okay,1073.305,1073.855
16,class/Bradford/16,156,INV,Investigator,,,okay,1073.855,1074.471
16,class/Bradford/16,157,INV,Investigator,,,tell me what you know about the NAACP,1074.471,1077.038
16,class/Bradford/16,159,INV,Investigator,,,the NAACP.,1111.0,1113.433
16,class/Bradford/16,160,CHI,Child,,,the NAACP was made by.,1113.433,1156.0
16,class/Bradford/16,161,INV,Investigator,,,even if you're not sure,1156.0,1157.183
16,class/Bradford/16,162,INV,Investigator,,,you can tell me anyway.,1157.183,1158.35
